ID,SID,Gender,Vowel,Condition,Rating
18,f1,female,o,harmonic,-45
18,m8,male,i,harmonic,30
18,m2,male,o,harmonic,4
18,m5,male,o,harmonic,-6
18,m5,male,a,harmonic,12
18,f6,female,i,harmonic,-82
18,f8,female,i,harmonic,15
18,f5,female,i,harmonic,38
18,f1,female,a,harmonic,-2
18,m4,male,a,harmonic,-14
18,m1,male,i,harmonic,-9
18,m8,male,a,harmonic,-5
18,f5,female,a,harmonic,15
19,f1,female,o,harmonic,-53
19,f4,female,o,harmonic,-14
19,m8,male,i,harmonic,-7
19,f1,female,i,harmonic,-62
19,m4,male,o,harmonic,-35
19,m8,male,o,harmonic,-5
19,f5,female,i,harmonic,-9
19,f4,female,a,harmonic,-19
19,f1,female,a,harmonic,-23
19,m5,male,o,harmonic,0
19,f8,female,a,harmonic,-18
19,f8,female,o,harmonic,-14
19,f6,female,i,harmonic,-5
19,m1,male,a,harmonic,-13
19,m2,male,a,harmonic,7
19,m2,male,i,harmonic,2
19,f5,female,a,harmonic,0
19,f6,female,a,harmonic,-14
19,m4,male,i,harmonic,-7
19,m2,male,o,harmonic,-9
19,f5,female,o,harmonic,3
19,m8,male,a,harmonic,-10
19,m1,male,i,harmonic,-18
19,f8,female,i,harmonic,-7
19,f4,female,i,harmonic,-7
19,m1,male,o,harmonic,-7
19,f6,female,o,harmonic,-5
19,m5,male,a,harmonic,-3
19,m4,male,a,harmonic,-2
19,m5,male,i,harmonic,-10
20,f4,female,o,harmonic,-8
20,m8,male,o,harmonic,41
20,f6,female,a,harmonic,60
20,m8,male,i,harmonic,-22
20,m2,male,o,harmonic,60
20,f4,female,i,harmonic,-17
20,f8,female,i,harmonic,-10
20,m5,male,i,harmonic,16
20,m5,male,a,harmonic,-38
20,f5,female,o,harmonic,0
20,m1,male,o,harmonic,0
20,f1,female,i,harmonic,-22
20,m1,male,i,harmonic,0
20,m5,male,o,harmonic,-11
20,f1,female,o,harmonic,7
20,m4,male,a,harmonic,-23
20,m4,male,i,harmonic,0
20,f8,female,a,harmonic,29
20,f6,female,o,harmonic,0
20,f5,female,a,harmonic,0
20,f1,female,a,harmonic,-22
20,m2,male,a,harmonic,0
20,f5,female,i,harmonic,0
20,f6,female,i,harmonic,-42
20,m2,male,i,harmonic,57
20,f8,female,o,harmonic,0
20,m4,male,o,harmonic,-64
20,f4,female,a,harmonic,-32
20,m1,male,a,harmonic,-34
20,m8,male,a,harmonic,0
21,m1,male,a,harmonic,-26
21,f8,female,a,harmonic,-24
21,f5,female,o,harmonic,-73
21,f4,female,a,harmonic,-30
21,m8,male,i,harmonic,-23
21,m5,male,i,harmonic,-8
21,f5,female,i,harmonic,4
21,f6,female,i,harmonic,-16
21,f4,female,i,harmonic,-52
21,m4,male,o,harmonic,-17
21,m4,male,a,harmonic,18
21,m5,male,a,harmonic,-55
21,f8,female,i,harmonic,21
21,m2,male,i,harmonic,-19
21,f1,female,a,harmonic,-54
21,f5,female,a,harmonic,-36
21,m8,male,o,harmonic,8
21,m4,male,i,harmonic,-31
21,m8,male,a,harmonic,8
21,m1,male,i,harmonic,2
21,f1,female,i,harmonic,-61
21,f6,female,o,harmonic,-58
21,f8,female,o,harmonic,-66
21,f1,female,o,harmonic,-44
21,m1,male,o,harmonic,-41
21,f6,female,a,harmonic,-50
21,m2,male,a,harmonic,29
21,m2,male,o,harmonic,0
21,m5,male,o,harmonic,-5
21,f4,female,o,harmonic,-45
22,m8,male,o,harmonic,-19
22,f6,female,o,harmonic,-42
22,m1,male,i,harmonic,-18
22,m2,male,i,harmonic,-6
22,f1,female,o,harmonic,-42
22,f8,female,i,harmonic,-23
22,f1,female,a,harmonic,-42
22,m1,male,a,harmonic,-34
22,m1,male,o,harmonic,-31
22,f5,female,a,harmonic,-36
22,f6,female,a,harmonic,-1
22,f5,female,i,harmonic,0
22,m8,male,a,harmonic,0
22,f4,female,i,harmonic,-20
22,f6,female,i,harmonic,0
22,f4,female,a,harmonic,0
22,m5,male,o,harmonic,-4
22,m4,male,a,harmonic,-2
22,m2,male,a,harmonic,-12
22,m4,male,i,harmonic,-17
22,f8,female,o,harmonic,8
22,m8,male,i,harmonic,-9
22,m5,male,i,harmonic,-28
22,m2,male,o,harmonic,2
22,f4,female,o,harmonic,-11
22,m5,male,a,harmonic,-22
22,f8,female,a,harmonic,-47
22,m4,male,o,harmonic,-37
22,f1,female,i,harmonic,-56
22,f5,female,o,harmonic,-30
23,m1,male,i,harmonic,39
23,m2,male,i,harmonic,-11
23,m8,male,o,harmonic,0
23,m5,male,a,harmonic,-19
23,f6,female,i,harmonic,0
23,f1,female,o,harmonic,-16
23,f1,female,a,harmonic,-13
23,f5,female,i,harmonic,-13
23,m4,male,i,harmonic,-6
23,m2,male,o,harmonic,0
23,f8,female,a,harmonic,0
23,f8,female,i,harmonic,5
23,m5,male,i,harmonic,-5
23,f4,female,i,harmonic,0
23,f4,female,a,harmonic,0
23,f4,female,o,harmonic,-6
23,m5,male,o,harmonic,0
23,f6,female,o,harmonic,5
23,m1,male,a,harmonic,0
23,m8,male,a,harmonic,0
23,m8,male,i,harmonic,0
23,m4,male,a,harmonic,0
23,m4,male,o,harmonic,-6
23,f1,female,i,harmonic,-4
23,m2,male,a,harmonic,-2
23,f5,female,o,harmonic,0
23,f8,female,o,harmonic,0
23,m1,male,o,harmonic,-7
23,f6,female,a,harmonic,0
23,f5,female,a,harmonic,0
24,m1,male,i,harmonic,-7
24,m8,male,i,harmonic,2
24,m4,male,a,harmonic,2
24,m5,male,a,harmonic,-13
24,f1,female,a,harmonic,1
24,f4,female,a,harmonic,0
24,f8,female,o,harmonic,-1
24,m4,male,i,harmonic,5
24,m5,male,o,harmonic,-10
24,f6,female,i,harmonic,0
24,m1,male,o,harmonic,1
24,f8,female,i,harmonic,7
24,m2,male,o,harmonic,-15
24,m1,male,a,harmonic,-32
24,m8,male,o,harmonic,3
24,f4,female,i,harmonic,-8
24,m2,male,a,harmonic,-36
24,f1,female,o,harmonic,-13
24,f5,female,i,harmonic,-3
24,m8,male,a,harmonic,-2
24,m5,male,i,harmonic,-12
24,f1,female,i,harmonic,-1
24,f6,female,a,harmonic,0
24,f4,female,o,harmonic,-16
24,f5,female,o,harmonic,-3
24,f5,female,a,harmonic,3
24,m4,male,o,harmonic,3
24,m2,male,i,harmonic,14
24,f6,female,o,harmonic,-4
24,f8,female,a,harmonic,7
25,f5,female,i,harmonic,-23
25,f6,female,o,harmonic,16
25,m4,male,a,harmonic,0
25,f5,female,a,harmonic,0
25,f1,female,o,harmonic,-30
25,f8,female,o,harmonic,11
25,f4,female,a,harmonic,-25
25,m5,male,a,harmonic,-26
